Proteina A,Proteina B
Q6PJP8,P85173
P02931,P08709
Q9Y3E7,O08553
P08943,P00698
Q9Y253,P10968
P37231,P22897
Q8WYH8,O14352
P09874,P16442
P10636,P63104
P16442,P23687
P00782,P71039
Q9AEM1,P00959
Q8RY79,P0DOY2
O14965,Q10740
P0AC55,O95684
O25099,Q9Y251
Q15431,P00433
P07900,Q5KXG9
P00323,P80386
O95503,Q50497
P81877,P02920
P10868,O58185
Q24323,P29476
P38501,A0A023GPI8
P42790,P00918
P13569,P07900
O15530,P02526
P07379,P9WKE9
P0AEX9,O85465
P00433,P53396
P9WFX5,P00083
P19491,P03300
P00374,P0ACJ8
P0CG48,P38051
P27707,Q9BHM6
P07798,P67954
P18031,P10929
Q16769,P56817
P15424,Q9H9B1
Q5ZSQ2,Q80W49
P00760,P33038
O34966,Q9T0N8
P61823,Q47810
P40732,P63705
A0Q7Q2,P35458
Q8NCJ5,P35790
Q6PL18,P48632
P01552,P00533
O04385,P00509
P05361,P08200
P00489,P00268
P22629,P52293
P02791,P28306
P09147,P28523
P9WPA5,P31224
P9WPX7,P18031
Q9BQP7,Q3JY79
P49841,P04425
P19821,Q00987
P00523,P09850
O43314,Q6JM09
P25321,Q9HBL8
Q6WZB0,P07649
Q8RSQ2,P07102
P00883,P0C6U8
P15873,P03607
